4344,Ex,dateRecord,datePay,dateAmountFrequency
4344,10/25/2023,10/26/2023,11/30/2023,0.145,Quarterly
4344,8/6/2023,8/7/2023,8/31/2023,0.134,Quarterly
4344,5/10/2023,5/11/2023,5/10/2023,0.156,Quarterly
4344,1/1/2023,1/2/2023,2/16/2023,0.181,Quarterly
4344,10/9/2022,10/10/2022,11/17/2022,0.181,Quarterly
4344,7/14/2022,7/17/2022,8/18/2022,0.175,Quarterly
4344,4/12/2022,4/13/2022,5/12/2022,0.172,Quarterly
4344,12/29/2021,12/30/2021,1/20/2022,0.162,Quarterly
4344,10/3/2021,10/4/2021,10/21/2021,0.162,Quarterly
4344,7/1/2021,7/4/2021,7/1/2021,0.153,Quarterly
4344,4/6/2021,4/7/2021,4/6/2021,0.153,Quarterly
4344,12/29/2020,12/30/2020,1/21/2021,0.125,Quarterly
4344,10/19/2020,10/20/2020,11/10/2020,0.125,Quarterly
4344,7/7/2020,7/8/2020,8/11/2020,0.153,Quarterly
4344,4/12/2020,4/13/2020,4/12/2020,0.153,Quarterly
4344,1/1/2020,1/2/2020,1/26/2020,0.165,Quarterly
4344,10/6/2019,10/7/2019,10/31/2019,0.165,Quarterly
4344,7/1/2019,7/2/2019,7/25/2019,0.165,Quarterly
4344,4/1/2019,4/2/2019,4/25/2019,0.165,Quarterly
4344,1/1/2019,1/2/2019,1/24/2019,0.153,Final
4344,10/24/2018,10/25/2018,11/11/2018,0.153,Interim
4344,8/7/2018,8/8/2018,9/4/2018,0.153,Interim
