Symbol,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8
1010,الرياض,,2017,2018,2019,2020,2021,2022
1010,توزيعات الأرباح لكل سهم (سنة مالية),,,0.77,1.07,0.50,1.04,1.15
1010,عائد توزيعات الأرباح (السنة المالية) %,,,3.88,4.46,2.48,3.84,3.62
1010,,نسبة الدفع (السنة المالية) %,74.70,57.30,31.81,51.78,49.15
1020,الجزيرة,,2017,2018,2019,2020,2021,2022
1020,توزيعات الأرباح لكل سهم (سنة مالية),,,0.50,0.60,0.00,0.70,0.40
1020,عائد توزيعات الأرباح (السنة المالية) %,,,3.50,3.99,0.00,3.63,2.10
1020,,نسبة الدفع (السنة المالية) %,99.72,49.64,0.00,59.37,31.79
1211,معادن,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1211,N/A,N/A,N/A,N/A,N/A,N/A,N/A
